DopingConcentration(C1(nodnum1_msh)) X,DopingConcentration(C1(nodnum1_msh)) Y
295.8974,-1e+15
296.47739,-1e+15
296.48349,-1e+15
297.06348,-1e+15
297.06958,-1e+15
297.64957,-1e+15
297.65567,-1e+15
298.23566,-1e+15
298.24176,-1e+15
298.82172,-1e+15
298.82782,-1e+15
299.40781,-1e+15
299.41391,-1e+15
299.9939,-1e+15
300,-1e+15

